D3-MoOx,,,
,,,
Volatge,Capacitance,Voltage,1/C2
-4.00E+00,2.06E-10,-4.00E+00,2.35E+19
-3.90E+00,2.10E-10,-3.90E+00,2.28E+19
-3.80E+00,2.12E-10,-3.80E+00,2.23E+19
-3.70E+00,2.13E-10,-3.70E+00,2.20E+19
-3.60E+00,2.15E-10,-3.60E+00,2.17E+19
-3.50E+00,2.16E-10,-3.50E+00,2.15E+19
-3.40E+00,2.16E-10,-3.40E+00,2.14E+19
-3.30E+00,2.17E-10,-3.30E+00,2.13E+19
-3.20E+00,2.18E-10,-3.20E+00,2.11E+19
-3.10E+00,2.20E-10,-3.10E+00,2.07E+19
-3.00E+00,2.22E-10,-3.00E+00,2.02E+19
-2.90E+00,2.25E-10,-2.90E+00,1.98E+19
-2.80E+00,2.28E-10,-2.80E+00,1.93E+19
-2.70E+00,2.30E-10,-2.70E+00,1.89E+19
-2.60E+00,2.33E-10,-2.60E+00,1.85E+19
-2.50E+00,2.36E-10,-2.50E+00,1.80E+19
-2.40E+00,2.40E-10,-2.40E+00,1.74E+19
-2.30E+00,2.42E-10,-2.30E+00,1.70E+19
-2.20E+00,2.46E-10,-2.20E+00,1.66E+19
-2.10E+00,2.49E-10,-2.10E+00,1.61E+19
-2.00E+00,2.53E-10,-2.00E+00,1.56E+19
-1.90E+00,2.58E-10,-1.90E+00,1.51E+19
-1.80E+00,2.62E-10,-1.80E+00,1.46E+19
-1.70E+00,2.68E-10,-1.70E+00,1.40E+19
-1.60E+00,2.73E-10,-1.60E+00,1.34E+19
-1.50E+00,2.81E-10,-1.50E+00,1.27E+19
-1.40E+00,2.92E-10,-1.40E+00,1.17E+19
-1.30E+00,3.09E-10,-1.30E+00,1.05E+19
-1.20E+00,3.38E-10,-1.20E+00,8.73E+18
-1.10E+00,3.90E-10,-1.10E+00,6.59E+18
-9.98E-01,4.78E-10,-9.98E-01,4.37E+18
-8.98E-01,6.15E-10,-8.98E-01,2.65E+18
-7.98E-01,8.08E-10,-7.98E-01,1.53E+18
-6.99E-01,1.04E-09,-6.99E-01,9.21E+17
-5.99E-01,1.30E-09,-5.99E-01,5.93E+17
-4.99E-01,1.55E-09,-4.99E-01,4.16E+17
-3.99E-01,1.78E-09,-3.99E-01,3.15E+17
-2.99E-01,1.98E-09,-2.99E-01,2.55E+17
-1.99E-01,2.15E-09,-1.99E-01,2.16E+17
-9.88E-02,2.28E-09,-9.88E-02,1.92E+17
1.28E-03,2.40E-09,1.28E-03,1.74E+17
1.01E-01,2.49E-09,1.01E-01,1.61E+17
2.01E-01,2.57E-09,2.01E-01,1.52E+17
3.01E-01,2.63E-09,3.01E-01,1.45E+17
4.01E-01,2.68E-09,4.01E-01,1.39E+17
5.01E-01,2.72E-09,5.01E-01,1.35E+17
6.01E-01,2.76E-09,6.01E-01,1.31E+17
7.01E-01,2.79E-09,7.01E-01,1.29E+17
8.01E-01,2.81E-09,8.01E-01,1.27E+17
9.01E-01,2.83E-09,9.01E-01,1.25E+17
1.00E+00,2.85E-09,1.00E+00,1.23E+17
1.10E+00,2.86E-09,1.10E+00,1.22E+17
1.20E+00,2.87E-09,1.20E+00,1.21E+17
1.30E+00,2.88E-09,1.30E+00,1.21E+17
1.40E+00,2.89E-09,1.40E+00,1.20E+17
1.50E+00,2.89E-09,1.50E+00,1.20E+17
1.60E+00,2.89E-09,1.60E+00,1.19E+17
1.70E+00,2.90E-09,1.70E+00,1.19E+17
1.80E+00,2.90E-09,1.80E+00,1.19E+17
1.90E+00,2.91E-09,1.90E+00,1.18E+17
2.00E+00,2.90E-09,2.00E+00,1.19E+17
